,companies,answer_value,answer_company,unit,years,question,operation,GRI,out
269,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",29052.67,,TCO2eq,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in TCO2eq?,mean,305,29052.67
270,"['NYSE_AZ_2023_60_0', 'OTC_ADDDF_2023_84_0', 'OTC_ESOCF_2023_137_0']",[  30490.  142293. 5100000.],['NYSE_AZ' 'OTC_ADDDF' 'OTC_ESOCF'],tCO2e,[2022],What are the 3 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,rank,305,"30490.0, 142293.0, 5100000.0"
271,"['OTC_RWNEF_2023_79_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",[200000.  42423.],['OTC_RWNEF' 'axa'],TCO2eq,[2023],Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"OTC_RWNEF, axa"
272,"['OTC_ESOCF_2023_137_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",22042.0,vivendi,TCO2eq,"[2023, 2022]",What is the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in TCO2eq?,sup,305,22042.0
273,"['NYSE_AZ_2023_60_0', 'OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",9.01,,million mt CO2e,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,mean,305,9.01
274,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'vivendi_2023_105_0']",1120000.0,OTC_BAYZF,tons CO2e,[2022],Which company has the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,sup,305,OTC_BAYZF
275,"['OTC_BAMGF_2023_310_0', 'OTC_BAYZF_2023_132_0', 'OTC_CRERF_2023_72_0']",[5.05 6.78],['OTC_BAMGF' 'OTC_BAYZF'],millions of cu.m,[2023],Which companies have the top 2 lowest water consumption values (in ascending order) for the year 2023 among the following companies in millions of cu.m?,rank,303,"OTC_BAMGF, OTC_BAYZF"
276,"['OTC_DPSGY_2023_3_0', 'heidelberg-materials_2023_374_0', 'prosiebensat1-media_2023_64_0']",257627.44,,GWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in GWh?,sum,302,257627.44
277,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",[0.  0.2],['NASDAQ_DASTY' 'OTC_RWNEF'],Million metric tons of CO2 equivalents,[2023],Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"NASDAQ_DASTY, OTC_RWNEF"
278,"['OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0', 'vivendi_2023_105_0']",[10291. 21779. 33093.],['vivendi' 'OTC_ADDDF' 'munich-re'],tons CO2e,[2023],What are the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tons CO2e?,rank,305,"10291.0, 21779.0, 33093.0"
279,"['NYSE_AZ_2023_60_0', 'OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",[0.02 0.11 0.2 ],['vivendi' 'NYSE_AZ' 'OTC_RWNEF'],million mt CO2e,[2023],What are the 3 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,rank,305,"0.02, 0.11, 0.2"
280,"['OTC_BAMGF_2023_310_0', 'OTC_BAYZF_2023_132_0', 'munich-re_2023_47_0']",6780000.0,OTC_BAYZF,m3,"[2023, 2022]",Which company has the highest water consumption in the years 2023 and 2022 for the following companies in m3?,sup,303,OTC_BAYZF
281,"['OTC_RWNEF_2023_79_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",[ 22042.  42423. 200000.],['vivendi' 'axa' 'OTC_RWNEF'],TCO2eq,[2023],What are the 3 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,rank,305,"22042.0, 42423.0, 200000.0"
